track_id,track_name,track_number,track_popularity,track_duration_min,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type
5Wgeij4HPNIKuKBU8dCZjM,Opening Night,1,27,1.6662166666666667,False,Jessica Pratt,54.0,170169.0,ambient folk,2tFHdeHcBUojQlo6oYzGBs,Quiet Signs,2019-02-08,9,album
5Il6Oe7lr5XM7A0cWbVQtr,bad idea,6,66,4.451766666666667,False,Ariana Grande,90.0,107389514.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
6cSDNYoWlMxzVfJLn6H301,Crazy Girls,1,64,3.244883333333333,True,TOOPOOR,46.0,128149.0,N/A,154oJT2twqCFdna5UI2MyE,Crazy Girls,2019-02-08,1,single
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",11,81,3.4553333333333334,True,Ariana Grande,90.0,107389514.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
27356GVuMPFWiJSZCragoM,make up,7,61,2.344883333333333,True,Ariana Grande,90.0,107389514.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
39LmTF9RgyakzSYX8txrow,imagine,1,69,3.5377666666666667,True,Ariana Grande,90.0,107401919.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
51PLHw6xSnlzsbTs8z2Gie,As the World Turns,2,30,3.1908833333333333,False,Jessica Pratt,54.0,170169.0,ambient folk,2tFHdeHcBUojQlo6oYzGBs,Quiet Signs,2019-02-08,9,album
2hloaUoRonYssMuqLCBLTX,bloodline,4,78,3.6148833333333332,True,Ariana Grande,90.0,107389514.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
6ocbgoVGwYJhOv1GgI9NsF,7 rings,10,84,2.9771,True,Ariana Grande,90.0,107401919.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",12,74,3.174,True,Ariana Grande,90.0,107374593.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
4T652DlATVHe0jdLKaN3Bw,in my head,9,68,3.7157666666666667,True,Ariana Grande,90.0,107374593.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
4uTvPEr01pjTbZgl7jcKBD,NASA,3,64,3.033333333333333,False,Ariana Grande,90.0,107374593.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
2vdBo4ALPYbHRUPKgtE5iC,ghostin,8,70,4.5244333333333335,False,Ariana Grande,90.0,107418606.0,pop,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album
0rTV5WefWd1J3OwIheTzxM,Talk,1,63,3.29145,False,Khalid,82.0,16943442.0,N/A,58kvvQvx6OtLqEDhqYSzyM,Talk,2019-02-07,1,single
